observation_id,git_revision,min_support,repeat_index,k,source,generated,pruned,evaluated,frequent,pruning_ratio
OBS-00019,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,3,1,singleton_scan,119,0,119,8,0.000000
OBS-00019,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,3,2,join_prune,28,0,28,18,0.000000
OBS-00019,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,3,3,join_prune,23,4,19,17,0.173913
OBS-00019,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,3,4,join_prune,13,6,7,7,0.461538
OBS-00019,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,3,5,join_prune,2,1,1,1,0.500000
OBS-00020,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,2,1,singleton_scan,119,0,119,18,0.000000
OBS-00020,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,2,2,join_prune,153,0,153,67,0.000000
OBS-00020,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,2,3,join_prune,175,60,115,110,0.342857
OBS-00020,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,2,4,join_prune,139,43,96,91,0.309353
OBS-00020,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,2,5,join_prune,49,12,37,37,0.244898
OBS-00020,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,2,6,join_prune,6,0,6,6,0.000000
OBS-00021,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,7,1,singleton_scan,119,0,119,8,0.000000
OBS-00021,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,7,2,join_prune,28,0,28,18,0.000000
OBS-00021,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,7,3,join_prune,23,4,19,17,0.173913
OBS-00021,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,7,4,join_prune,13,6,7,7,0.461538
OBS-00021,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,7,5,join_prune,2,1,1,1,0.500000
OBS-00022,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,4,1,singleton_scan,119,0,119,8,0.000000
OBS-00022,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,4,2,join_prune,28,0,28,18,0.000000
OBS-00022,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,4,3,join_prune,23,4,19,17,0.173913
OBS-00022,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,4,4,join_prune,13,6,7,7,0.461538
OBS-00022,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,4,5,join_prune,2,1,1,1,0.500000
OBS-00023,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,8,1,singleton_scan,119,0,119,13,0.000000
OBS-00023,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,8,2,join_prune,78,0,78,41,0.000000
OBS-00023,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.5,8,3,join_prune,75,12,63,56,0.160000
